yyyy,mm,dd,hh,wh(m),q(m3/s)
2016,8,15,21,737.648,3.315
2016,8,15,22,737.646,3.293
2016,8,15,23,737.646,3.293
2016,8,16,0,737.646,3.293
2016,8,16,1,737.643,3.26
2016,8,16,2,737.643,3.26
2016,8,16,3,737.642,3.249
2016,8,16,4,737.641,3.238
2016,8,16,5,737.639,3.216
2016,8,16,6,737.638,3.205
2016,8,16,7,737.637,3.194
2016,8,16,8,737.637,3.194
2016,8,16,9,737.635,3.172
2016,8,16,10,737.635,3.172
2016,8,16,11,737.633,3.15
2016,8,16,12,737.632,3.14
2016,8,16,13,737.631,3.129
2016,8,16,14,737.63,3.118
2016,8,16,15,737.629,3.108
2016,8,16,16,737.628,3.096
2016,8,16,17,737.626,3.075
2016,8,16,18,737.626,3.075
2016,8,16,19,737.625,3.064
2016,8,16,20,737.624,3.054
2016,8,16,21,737.623,3.043
2016,8,16,22,737.622,3.032
2016,8,16,23,737.621,3.021
2016,8,17,0,737.62,3.011
2016,8,17,1,737.619,3.001
2016,8,17,2,737.618,2.99
2016,8,17,3,737.617,2.98
2016,8,17,4,737.616,2.969
2016,8,17,5,737.614,2.948
2016,8,17,6,737.614,2.948
2016,8,17,7,737.613,2.937
2016,8,17,8,737.612,2.927
2016,8,17,9,737.61,2.906
2016,8,17,10,737.609,2.896
2016,8,17,11,737.609,2.896
2016,8,17,12,737.608,2.885
2016,8,17,13,737.605,2.854
2016,8,17,14,737.605,2.854
2016,8,17,15,737.604,2.844
2016,8,17,16,737.603,2.834
2016,8,17,17,737.603,2.834
2016,8,17,18,737.6,2.803
2016,8,17,19,737.6,2.803
2016,8,17,20,737.599,2.793
2016,8,17,21,737.599,2.793
2016,8,17,22,737.597,2.773
2016,8,17,23,737.596,2.763
2016,8,18,0,737.595,2.752
2016,8,18,1,737.595,2.752
2016,8,18,2,737.594,2.742
2016,8,18,3,737.592,2.722
2016,8,18,4,737.592,2.722
2016,8,18,5,737.591,2.712
2016,8,18,6,737.589,2.692
2016,8,18,7,737.589,2.692
2016,8,18,8,737.589,2.692
2016,8,18,9,737.586,2.662
2016,8,18,10,737.585,2.653
2016,8,18,11,737.585,2.653
2016,8,18,12,737.584,2.642
2016,8,18,13,737.583,2.633
2016,8,18,14,737.582,2.622
2016,8,18,15,737.581,2.613
2016,8,18,16,737.58,2.603
2016,8,18,17,737.579,2.593
2016,8,18,18,737.578,2.583
2016,8,18,19,737.576,2.564
2016,8,18,20,737.575,2.554
2016,8,18,21,737.574,2.544
2016,8,18,22,737.572,2.525
2016,8,18,23,737.572,2.525
2016,8,19,0,737.571,2.515
2016,8,19,1,737.57,2.506
2016,8,19,2,737.569,2.496
2016,8,19,3,737.568,2.487
2016,8,19,4,737.566,2.467
2016,8,19,5,737.566,2.467
2016,8,19,6,737.565,2.458
2016,8,19,7,737.564,2.449
2016,8,19,8,737.564,2.449
2016,8,19,9,737.563,2.439
2016,8,19,10,737.562,2.43
2016,8,19,11,737.562,2.43
2016,8,19,12,737.561,2.42
2016,8,19,13,737.561,2.42
2016,8,19,14,737.564,2.452
2016,8,19,15,737.564,2.452
2016,8,19,16,737.563,2.441
2016,8,19,17,737.562,2.429
2016,8,19,18,737.562,2.429
2016,8,19,19,737.561,2.417
2016,8,19,20,737.561,2.417
2016,8,19,21,737.556,2.406
2016,8,19,22,737.555,2.394
2016,8,19,23,737.555,2.394
2016,8,20,0,737.554,2.383
2016,8,20,1,737.554,2.383
2016,8,20,2,737.554,2.383
2016,8,20,3,737.553,2.371
2016,8,20,4,737.552,2.36
2016,8,20,5,737.552,2.36
2016,8,20,6,737.552,2.36
2016,8,20,7,737.552,2.36
2016,8,20,8,737.552,2.36
2016,8,20,9,737.552,2.36
2016,8,20,10,737.549,2.326
2016,8,20,11,737.548,2.314
2016,8,20,12,737.548,2.314
2016,8,20,13,737.548,2.314
2016,8,20,14,737.548,2.314
2016,8,20,15,737.548,2.314
2016,8,20,16,737.547,2.303
2016,8,20,17,737.547,2.303
2016,8,20,18,737.546,2.292
2016,8,20,19,737.546,2.292
2016,8,20,20,737.544,2.269
2016,8,20,21,737.544,2.269
2016,8,20,22,737.544,2.269
2016,8,20,23,737.543,2.259
2016,8,21,0,737.542,2.247
2016,8,21,1,737.542,2.247
2016,8,21,2,737.541,2.236
2016,8,21,3,737.541,2.236
2016,8,21,4,737.54,2.225
2016,8,21,5,737.54,2.225
2016,8,21,6,737.54,2.225
2016,8,21,7,737.54,2.225
2016,8,21,8,737.54,2.225
2016,8,21,9,737.54,2.225
2016,8,21,10,737.539,2.214
2016,8,21,11,737.539,2.214
2016,8,21,12,737.539,2.214
2016,8,21,13,737.538,2.203
2016,8,21,14,737.538,2.203
2016,8,21,15,737.538,2.203
2016,8,21,16,737.538,2.203
2016,8,21,17,737.537,2.192
2016,8,21,18,737.537,2.192
2016,8,21,19,737.537,2.192
2016,8,21,20,737.537,2.192
2016,8,21,21,737.537,2.192
2016,8,21,22,737.536,2.181
2016,8,21,23,737.536,2.181
2016,8,22,0,737.536,2.181
2016,8,22,1,737.536,2.181
2016,8,22,2,737.536,2.181
2016,8,22,3,737.536,2.181
2016,8,22,4,737.536,2.181
2016,8,22,5,737.536,2.181
2016,8,22,6,737.536,2.181
2016,8,22,7,737.536,2.181
2016,8,22,8,737.536,2.181
2016,8,22,9,737.536,2.181
2016,8,22,10,737.536,2.181
2016,8,22,11,737.536,2.181
2016,8,22,12,737.535,2.17
2016,8,22,13,737.535,2.17
2016,8,22,14,737.536,2.181
2016,8,22,15,737.535,2.17
2016,8,22,16,737.535,2.17
2016,8,22,17,737.535,2.17
2016,8,22,18,737.535,2.17
2016,8,22,19,737.535,2.17
2016,8,22,20,737.535,2.17
2016,8,22,21,737.536,2.181
2016,8,22,22,737.536,2.181
2016,8,22,23,737.536,2.181
2016,8,23,0,737.536,2.181
2016,8,23,1,737.536,2.181
2016,8,23,2,737.536,2.181
2016,8,23,3,737.536,2.181
2016,8,23,4,737.536,2.181
2016,8,23,5,737.536,2.181
2016,8,23,6,737.536,2.181
2016,8,23,7,737.536,2.181
2016,8,23,8,737.536,2.181
2016,8,23,9,737.536,2.181
2016,8,23,10,737.536,2.181
